ete_group,n,events,person_years,rate_per_100py,ci_low,ci_high
No/negative ETE,118,17,700.8,2.4258724645874823,1.4131601068204567,3.8840568137670353
Microscopic ETE,1558,77,8050.9,0.956419275598432,0.7547911355747764,1.195359994067624
Gross ETE,971,103,4135.6,2.490547981229494,2.0328659837159018,3.0205137522711523
