ete_group,year,rfs_pct,n_at_risk
No/negative ETE,1,98.97959183673466,80
No/negative ETE,3,90.62117496933574,52
No/negative ETE,5,84.75119185186824,39
No/negative ETE,10,77.53337056778058,18
Microscopic ETE,1,97.12035457997635,1090
Microscopic ETE,3,95.21862116477307,730
Microscopic ETE,5,94.36301310196113,524
Microscopic ETE,10,92.14818477384966,269
Gross ETE,1,94.69429202779692,680
Gross ETE,3,90.77023720806373,448
Gross ETE,5,88.16461446588372,310
Gross ETE,10,78.17337230267265,56
