ete_group,n,events,rate,ci_low,ci_high
No/negative ETE,171,23,13.450292397660817,9.132603231168446,19.374055977050723
Microscopic ETE,2393,82,3.4266610948600085,2.769219308887327,4.233390655280946
Gross ETE,1192,110,9.228187919463087,7.713558774809834,11.00476355542953
