n,pct_adenomatoid_nodules,pct_clt,pct_follicular_adenoma,pct_ftump,pct_graves,pct_hashimotos,pct_hurthle_adenoma,pct_lymph_thyroiditis,pct_mng,pct_niftp,pct_nodular_hyperplasia,pct_substernal_goiter,race_strat
204,5.39,24.51,9.8,0.98,1.47,1.96,1.47,22.55,42.65,2.94,12.75,0.0,Asian
1535,9.97,12.51,7.1,0.2,3.97,0.39,1.11,12.12,75.5,1.24,29.51,3.78,Black
1382,7.09,27.71,9.41,1.16,1.88,3.55,1.66,25.18,52.68,2.24,16.06,1.3,White
