arm,n,race_level,or,ci_lo,ci_hi,p
S048v4_A_post2017,2710,Black,0.4984389274485547,0.4035254042280115,0.615677134061389,1.0453448430257926e-10
S048v4_A_post2017,2710,Asian,1.117048610823849,0.7412156190716066,1.6834475243605806,0.5968440896702032
S048v4_B_single_nodule,305,Black,0.9007024523343201,0.44728875341060265,1.813738667594739,0.7696507130615637
S048v4_B_single_nodule,305,Asian,2.3386874827695725,0.8023401025754506,6.816883668791492,0.11958873372508898
S048v4_C_genetics_tested,655,Black,0.7147135441521508,0.4747507476980835,1.0759655517580782,0.1075783939834482
S048v4_C_genetics_tested,655,Asian,0.46821161559307284,0.2087822145858124,1.0500037918036933,0.06554091187794822
S048v4_D_no_CLT,2496,Black,0.4911274625812595,0.3933327248201445,0.6132370110109717,3.467567083155739e-10
S048v4_D_no_CLT,2496,Asian,1.1047561897064935,0.709599241224221,1.719965535178972,0.6591491138297738
S048v4_E_no_Bethesda_VI,2599,Black,0.4710476163842111,0.3812592047841439,0.581981639044941,3.019632303386019e-12
S048v4_E_no_Bethesda_VI,2599,Asian,0.9963871039117953,0.6570607558563213,1.5109519964373377,0.9864062273673984
S048v4_F_TR4_only,455,Black,0.563323339449394,,,
S048v4_F_TR4_only,455,Asian,3.231886012031921,,,
S048v4_G_had_fna,2258,Black,0.6602955992897532,0.5194587872067331,0.8393163984882209,0.0006962082418691228
S048v4_G_had_fna,2258,Asian,0.9404547673348982,0.5714491864766496,1.5477407096441422,0.8091471261343954
