n,pct_afib,pct_autoimmune_thyroid_hx,pct_breast_cancer,pct_cad,pct_ckd,pct_copd,pct_depression,pct_dm,pct_family_hx_cancer,pct_family_hx_thyroid,pct_htn,pct_hyperthyroidism,pct_hypothyroidism,pct_obesity,pct_prior_cancer_hx,pct_radiation_exposure,pct_smoking_current,race_strat
204,0.98,0.49,2.94,0.98,2.45,0.0,3.43,24.02,0.0,0.49,22.55,18.63,30.39,3.92,3.43,0.49,0.49,Asian
1535,2.15,0.39,7.17,4.04,5.6,1.89,6.45,32.25,0.0,0.13,38.96,20.65,28.47,11.6,9.45,0.13,0.0,Black
1382,4.92,1.16,9.04,5.5,3.98,2.68,9.48,22.21,0.36,0.58,28.36,13.89,30.75,9.33,13.02,0.58,0.22,White
