term,coef,or,ci_lo,ci_hi,p,model_label,n
Intercept,-0.8288633046661015,0.4365452233218851,0.3105824413972074,0.6135946744054027,1.8253818135083798e-06,v12_equivalent,3121
"C(race_strat, Treatment('White'))[T.Asian]",0.17179852714747693,1.1874385724760508,0.8395260912311946,1.6795313190756602,0.3314657776302353,v12_equivalent,3121
"C(race_strat, Treatment('White'))[T.Black]",-0.8139372596394936,0.4431099880904642,0.37113078421799456,0.5290492459666226,2.266915976633438e-19,v12_equivalent,3121
C(bethesda_bucket)[T.II_benign],-1.3546973166135097,0.25802538262984726,0.19506521671023377,0.34130686753947675,2.2650659163287343e-21,v12_equivalent,3121
C(bethesda_bucket)[T.IV_FN],0.13741775305071197,1.147307339562876,0.8261714031760758,1.5932700240585644,0.41209491389814,v12_equivalent,3121
C(bethesda_bucket)[T.I_nondiagnostic],-0.9736581925774492,0.37769881277227263,0.2204856021933786,0.6470100167559528,0.00039209685289941205,v12_equivalent,3121
C(bethesda_bucket)[T.VI_malig],1.5082671685406563,4.51889352508031,3.307737058288096,6.1735253834176405,2.6739998747008387e-21,v12_equivalent,3121
C(bethesda_bucket)[T.V_susp_malig],2.0915239142025475,8.097245273978762,4.339110709282626,15.110326843403161,4.999801116889439e-11,v12_equivalent,3121
C(bethesda_bucket)[T.missing],-0.3512042746428509,0.7038399625126919,0.5470323778944887,0.9055966572520103,0.00631285895217433,v12_equivalent,3121
max_tr_int,0.28291925181930044,1.326998004816168,1.2437492932790006,1.4158188585929725,1.1409307132581408e-17,v12_equivalent,3121
pmh_hyperthyroidism,-0.05537087529028746,0.9461341850852345,0.7568281476653003,1.182791494936286,0.6268836453136815,v12_equivalent,3121
pmh_htn,-0.0988072276551988,0.9059173269994748,0.745628608289097,1.100663512953187,0.3199566384546718,v12_equivalent,3121
pmh_dm,0.1742360484283794,1.1903365097232377,0.9697157782464934,1.461150821885395,0.09572716041650643,v12_equivalent,3121
Intercept,-0.8930549032162478,0.40940315343148853,0.28919835614049333,0.5795708671256107,4.760433536658593e-07,v4_full_pmh,3121
"C(race_strat, Treatment('White'))[T.Asian]",0.16978295162742438,1.185047610749214,0.8349162802471749,1.6820103679457177,0.342007746442724,v4_full_pmh,3121
"C(race_strat, Treatment('White'))[T.Black]",-0.8201609056544056,0.4403607922636307,0.3677521874134624,0.5273051636400782,4.60827705194081e-19,v4_full_pmh,3121
C(bethesda_bucket)[T.II_benign],-1.3311565202016604,0.2641715648104071,0.19932410269036113,0.3501162915695586,1.9915714182013544e-20,v4_full_pmh,3121
C(bethesda_bucket)[T.IV_FN],0.15781771348522083,1.1709527263606005,0.8407210407834503,1.630898027832866,0.3505053800536869,v4_full_pmh,3121
C(bethesda_bucket)[T.I_nondiagnostic],-0.9495807021707233,0.38690321712747916,0.22438734807085767,0.6671236177555004,0.000635035024589854,v4_full_pmh,3121
C(bethesda_bucket)[T.VI_malig],1.5187949234193343,4.566718632219363,3.3333286955688393,6.256484424588244,3.2177822417462105e-21,v4_full_pmh,3121
C(bethesda_bucket)[T.V_susp_malig],2.136156352976221,8.466831494119036,4.515802748877647,15.874749083675779,2.7237669496820864e-11,v4_full_pmh,3121
C(bethesda_bucket)[T.missing],-0.31845075405553186,0.7272748924126794,0.5639266442660564,0.937938958039957,0.014142741620767495,v4_full_pmh,3121
max_tr_int,0.2797224442188481,1.3227626209692092,1.2393035704725321,1.411842096740019,4.024546592459733e-17,v4_full_pmh,3121
pmh_hyperthyroidism,-0.16056616458522707,0.8516614718796877,0.6712517155793227,1.0805592683786043,0.18615622581850022,v4_full_pmh,3121
pmh_hypothyroidism,0.2904750160235701,1.3370624632963983,1.0969765090161137,1.6296939962366794,0.004020375019309781,v4_full_pmh,3121
pmh_autoimmune_thyroid_hx,-0.8419200750492901,0.4308824021064909,0.13685020384709018,1.3566632655696067,0.1502309584930533,v4_full_pmh,3121
pmh_htn,-0.10393701526414043,0.9012820626461654,0.7328772126154317,1.1083839727378395,0.3246826874121722,v4_full_pmh,3121
pmh_dm,0.1505992039568306,1.162530627020983,0.93990185098361,1.4378921132536069,0.16498049765213219,v4_full_pmh,3121
pmh_obesity,-0.001577763535107193,0.9984234804794395,0.7431231086201804,1.3414324420937638,0.9916452115592003,v4_full_pmh,3121
pmh_ckd,0.13301995312273915,1.1422727900126917,0.7544651860886603,1.7294199266737906,0.5296230400049307,v4_full_pmh,3121
pmh_cad,-0.06265148017201698,0.9392707711385816,0.6157650193530223,1.4327374140905484,0.7711902891140039,v4_full_pmh,3121
pmh_copd,-0.9418316870506785,0.38991298230426724,0.19990890879474837,0.7605070463643173,0.0057246119531463415,v4_full_pmh,3121
pmh_depression,-0.032759687634627735,0.9677710990088056,0.6956726588481399,1.346295399372825,0.8457839782939676,v4_full_pmh,3121
pmh_family_hx_thyroid,-1.343036760117332,0.2610517122347173,0.043523595463909305,1.5657712956455403,0.14172462498104418,v4_full_pmh,3121
pmh_family_hx_cancer,-0.6129440926447154,0.5417535462642832,0.03330497007016177,8.81240560407749,0.6666653952967232,v4_full_pmh,3121
pmh_radiation_exposure,0.7850387929742678,2.1924919923689443,0.423990709485595,11.337562425445695,0.3490468297817455,v4_full_pmh,3121
pmh_prior_cancer_hx,0.2263909864904093,1.2540658922578347,0.9428755771101093,1.6679626668713476,0.11976779234919631,v4_full_pmh,3121
