param,coef,or,ci_lo,ci_hi,p
Intercept,0.03936547258214446,1.0401505607032955,0.5803095234392447,1.8643726239737484,0.894814727341499
"C(race_strat, Treatment('White'))[T.Asian]",0.03785043086346941,1.0385758823630196,0.7096364660863395,1.519989339576709,0.845559105154824
"C(race_strat, Treatment('White'))[T.Black]",-0.6672746730073141,0.5131050530474855,0.4211971184227667,0.625067893267506,3.449447739904841e-11
C(nodule_burden_cat)[T.5+],0.19212265866956313,1.2118191479737148,0.9722434931932173,1.510429905344606,0.08735913321916249
C(nodule_burden_cat)[T.solitary],-0.40288291321770336,0.6683903544180693,0.4759586152315161,0.9386229213685015,0.020040153577281894
C(bethesda_bucket)[T.II_benign],-1.1054233061433651,0.33107070831111474,0.23581959359721602,0.4647951946216788,1.7013589109342714e-10
C(bethesda_bucket)[T.IV_FN],0.015486731290216056,1.0156072721707583,0.7106906474780889,1.4513461446922014,0.9322435086290969
C(bethesda_bucket)[T.I_nondiagnostic],-0.7618639851771744,0.4667955156571875,0.2552985434947355,0.8535029242818725,0.013344141810368991
C(bethesda_bucket)[T.VI_malig],1.1645980742970314,3.2046345993088683,2.2287775127794447,4.607764954645689,3.2666467776184644e-10
C(bethesda_bucket)[T.V_susp_malig],1.7522748810263507,5.767708614020397,2.9459863387852554,11.292130658678529,3.1877948838821404e-07
C(bethesda_bucket)[T.missing],-0.2841379211001699,0.752662829461708,0.524171150055993,1.0807564185720437,0.12374272211682938
C(sex)[T.male],0.3061134241588985,1.3581363432843903,1.0755015309313938,1.7150457474035503,0.010129332866524659
C(surg_procedure_type)[T.isthmusectomy],-0.09190277304181675,0.9121938350655657,0.10947590727231278,7.6007371253096485,0.9322938095250058
C(surg_procedure_type)[T.other],-1.3866733752756089,0.24990526441526836,0.06543812188795499,0.9543770417096991,0.04253308702092575
C(surg_procedure_type)[T.total_thyroidectomy],0.899178080377228,2.457582345662826,2.0181929335383546,2.9926331052624398,3.649998293919744e-19
C(surg_procedure_type)[T.unknown],-0.08054235627541383,0.9226158241861832,0.053184960217838334,16.004899797842647,0.9558813042969696
max_tr_int,0.22870942056091145,1.2569767343429843,1.1663063929009778,1.354695918925395,2.132220964732688e-09
had_any_genetics,0.48748940567680377,1.6282232761305109,1.255724321024132,2.111220586036755,0.00023506138132265748
had_any_nm,0.9183822779240273,2.505234337145108,2.0012922622632097,3.1360732274621883,1.1048086748416683e-15
has_clt,0.01812565987185165,1.0182909266578697,0.8091724080078394,1.28145300192156,0.8771781582917073
has_mng,-1.0587052167275106,0.34690468605360836,0.281105884843553,0.42810509382586687,5.839290906048388e-23
has_graves,-2.424695477972645,0.08850506668114116,0.04289100127399742,0.1826291435397679,5.367517873383161e-11
has_follicular_adenoma,-1.1681925983782413,0.31092840622196016,0.22110174365374832,0.43724880771237334,1.872911895499794e-11
had_repeat_fna,-0.11449477455963543,0.8918165985404014,0.636262544635303,1.2500136180231194,0.5062988606236258
n_fnas_total,0.04872951645111436,1.049936321826754,0.8977833965757446,1.2278755478166032,0.5418238962265035
days_us_to_surg_approx,-0.07586047530565745,0.9269455293289643,0.8893642325931637,0.966114874934491,0.00032759298488621466
age_at_surgery,-0.013499361580969886,0.9865913461762219,0.9802128174536693,0.9930113818327179,4.5199331700631025e-05
surg_year,-0.007779182648463149,0.9922509968848036,0.9581859602760845,1.02752709978677,0.662512850206345
