column_name,proposed_definition,current_true_or_positive_patients,proposed_true_or_positive_patients,mismatched_patients,current_sum,proposed_sum,decreases,increases
any_confirmed_complication,see target_map,400,400,0,,,0,0
any_confirmed_complication_flag,see target_map,400,400,0,,,0,0
comp_airway_complication_any_evidence,see target_map,0,0,0,,,0,0
comp_airway_complication_definitive,see target_map,0,0,0,,,0,0
comp_airway_complication_probable_or_better,see target_map,0,0,0,,,0,0
comp_chyle_leak_any_evidence,see target_map,5,5,0,,,0,0
comp_chyle_leak_confirmed,see target_map,3,3,0,,,0,0
comp_chyle_leak_definitive,see target_map,1,1,0,,,0,0
comp_chyle_leak_probable_or_better,see target_map,3,3,0,,,0,0
comp_chyle_leak_suspected,see target_map,2,2,0,,,0,0
comp_hematoma_any_evidence,see target_map,70,70,0,,,0,0
comp_hematoma_confirmed,see target_map,68,68,0,,,0,0
comp_hematoma_definitive,see target_map,1,1,0,,,0,0
comp_hematoma_probable_or_better,see target_map,68,68,0,,,0,0
comp_hematoma_suspected,see target_map,2,2,0,,,0,0
comp_hypocalcemia_clinical_any_evidence,see target_map,9,9,0,,,0,0
comp_hypocalcemia_clinical_definitive,see target_map,5,5,0,,,0,0
comp_hypocalcemia_clinical_probable_or_better,see target_map,9,9,0,,,0,0
comp_hypocalcemia_confirmed,see target_map,9,9,0,,,0,0
comp_hypocalcemia_suspected,see target_map,0,0,0,,,0,0
comp_hypoparathyroidism_any_evidence,see target_map,298,298,0,,,0,0
comp_hypoparathyroidism_confirmed,see target_map,296,296,0,,,0,0
comp_hypoparathyroidism_definitive,see target_map,4,4,0,,,0,0
comp_hypoparathyroidism_probable_or_better,see target_map,296,296,0,,,0,0
comp_hypoparathyroidism_suspected,see target_map,2,2,0,,,0,0
comp_mortality_any_evidence,see target_map,1,1,0,,,0,0
comp_mortality_definitive,see target_map,1,1,0,,,0,0
comp_mortality_probable_or_better,see target_map,1,1,0,,,0,0
comp_pneumothorax_any_evidence,see target_map,0,0,0,,,0,0
comp_pneumothorax_definitive,see target_map,0,0,0,,,0,0
comp_pneumothorax_probable_or_better,see target_map,0,0,0,,,0,0
comp_rln_injury_any_evidence,see target_map,21,21,0,,,0,0
comp_rln_injury_confirmed,see target_map,21,21,0,,,0,0
comp_rln_injury_definitive,see target_map,3,3,0,,,0,0
comp_rln_injury_probable_or_better,see target_map,21,21,0,,,0,0
comp_rln_injury_suspected,see target_map,0,0,0,,,0,0
comp_seroma_any_evidence,see target_map,45,45,0,,,0,0
comp_seroma_confirmed,see target_map,39,39,0,,,0,0
comp_seroma_definitive,see target_map,0,0,0,,,0,0
comp_seroma_probable_or_better,see target_map,39,39,0,,,0,0
comp_seroma_suspected,see target_map,6,6,0,,,0,0
comp_vc_paralysis_confirmed,see target_map,23,23,0,,,0,0
comp_vc_paralysis_suspected,see target_map,46,46,0,,,0,0
comp_vc_paresis_confirmed,see target_map,0,0,0,,,0,0
comp_vc_paresis_suspected,see target_map,0,0,0,,,0,0
comp_vocal_cord_paralysis_any_evidence,see target_map,69,69,0,,,0,0
comp_vocal_cord_paralysis_definitive,see target_map,5,5,0,,,0,0
comp_vocal_cord_paralysis_probable_or_better,see target_map,23,23,0,,,0,0
comp_wound_dehiscence_any_evidence,see target_map,0,0,0,,,0,0
comp_wound_dehiscence_definitive,see target_map,0,0,0,,,0,0
comp_wound_dehiscence_probable_or_better,see target_map,0,0,0,,,0,0
comp_wound_infection_any_evidence,see target_map,0,0,0,,,0,0
comp_wound_infection_confirmed,see target_map,0,0,0,,,0,0
comp_wound_infection_definitive,see target_map,0,0,0,,,0,0
comp_wound_infection_probable_or_better,see target_map,0,0,0,,,0,0
comp_wound_infection_suspected,see target_map,0,0,0,,,0,0
n_confirmed_complications,count_distinct_strict_confirmed_types,400,400,0,460,460,0,0
