Step,n
All patients spine (canonical / manuscript cohort v1 rollup),10871
Patients with first surgery resolved (study spine),8731
Initial hemithyroidectomy or total thyroidectomy; surgery year 1999–2025,8368
    initial hemithyroidectomy only,3809
    initial total thyroidectomy,4559
EXT2-4 v4 primary: ≥1 US nodule 2.0–4.0 cm (canonical_us_nodule_v2.size_cm_max) with exam_date ≤ DATE(surg_first_date),765
v4 STRICT sensitivity arm — exclude suspicious CT/MRI neck nodes + Bethesda VI lymph-node-directed FNA (pre-operative),654
