era,tr_category,n_total,n_malignant,rom_pct,lo_95,hi_95
post_2017,TR2,31,4.0,12.9,5.13,28.85
post_2017,TR3,1388,120.0,8.65,7.28,10.24
post_2017,TR4,771,139.0,18.03,15.48,20.9
post_2017,TR5,1116,272.0,24.37,21.94,26.98
post_2017,,3306,535.0,16.18,14.97,17.48
pre_2017,TR3,167,22.0,13.17,8.86,19.14
pre_2017,TR4,89,22.0,24.72,16.93,34.6
pre_2017,TR5,125,52.0,41.6,33.34,50.37
pre_2017,,381,96.0,25.2,21.1,29.79
