grain,era,threshold,n,tp,fp,fn,tn,sensitivity_pct,sensitivity_lo_95,sensitivity_hi_95,specificity_pct,specificity_lo_95,specificity_hi_95,ppv_pct,ppv_lo_95,ppv_hi_95,npv_pct,npv_lo_95,npv_hi_95
nodule_strict,post_2017,TR>=TR3,3306,531,2744,4,27,99.25,98.09,99.71,0.97,0.67,1.41,16.21,14.99,17.52,87.1,71.15,94.87
nodule_strict,post_2017,TR>=TR4,3306,411,1476,124,1295,76.82,73.06,80.2,46.73,44.88,48.59,21.78,19.98,23.7,91.26,89.68,92.62
nodule_strict,post_2017,TR>=TR5,3306,272,844,263,1927,50.84,46.61,55.06,69.54,67.8,71.23,24.37,21.94,26.98,87.99,86.56,89.29
nodule_strict,pre_2017,TR>=TR3,381,96,285,0,0,100.0,96.15,100.0,0.0,0.0,1.33,25.2,21.1,29.79,,,
nodule_strict,pre_2017,TR>=TR4,381,74,140,22,145,77.08,67.73,84.35,50.88,45.1,56.63,34.58,28.53,41.17,86.83,80.86,91.14
nodule_strict,pre_2017,TR>=TR5,381,52,73,44,212,54.17,44.23,63.78,74.39,69.02,79.11,41.6,33.34,50.37,82.81,77.71,86.94
patient,post_2017,TR>=TR3,2953,1159,1295,151,348,88.47,86.63,90.09,21.18,19.27,23.22,47.23,45.26,49.21,69.74,65.57,73.61
patient,post_2017,TR>=TR4,2953,952,762,358,881,72.67,70.19,75.02,53.62,51.2,56.02,55.54,53.18,57.88,71.11,68.52,73.56
patient,post_2017,TR>=TR5,2953,740,534,570,1109,56.49,53.79,59.15,67.5,65.2,69.72,58.08,55.35,60.77,66.05,63.75,68.28
patient,pre_2017,TR>=TR3,422,128,154,41,99,75.74,68.75,81.58,39.13,33.32,45.26,45.39,39.68,51.22,70.71,62.7,77.62
patient,pre_2017,TR>=TR4,422,102,75,67,178,60.36,52.83,67.42,70.36,64.46,75.64,57.63,50.26,64.67,72.65,66.75,77.85
patient,pre_2017,TR>=TR5,422,81,44,88,209,47.93,40.53,55.42,82.61,77.46,86.78,64.8,56.1,72.62,70.37,64.94,75.28
