tr_category,n_total,m_w365,rom_w365_pct,m_w180,rom_w180_pct,m_w90,rom_w90_pct,m_w30,rom_w30_pct,median_days_to_surg_malig,q75_days_to_surg_malig,q95_days_to_surg_malig,rom_w365_lo_95,rom_w365_hi_95,rom_w180_lo_95,rom_w180_hi_95,rom_w90_lo_95,rom_w90_hi_95,rom_w30_lo_95,rom_w30_hi_95
TR2,31,4.0,12.9,4.0,12.9,4.0,12.9,3.0,9.68,27.0,29,56,5.13,28.85,5.13,28.85,5.13,28.85,3.35,24.9
TR3,1555,142.0,9.13,115.0,7.4,77.0,4.95,33.0,2.12,77.0,153,288,7.8,10.67,6.2,8.8,3.98,6.15,1.52,2.97
TR4,860,161.0,18.72,135.0,15.7,97.0,11.28,52.0,6.05,73.0,125,291,16.26,21.47,13.42,18.28,9.33,13.57,4.64,7.84
TR5,1241,324.0,26.11,275.0,22.16,208.0,16.76,111.0,8.94,58.0,115,264,23.74,28.62,19.94,24.55,14.79,18.94,7.48,10.66
